Horodateur,Sexe,Age,Temps_Réseau,Temps_Streaming,Temps_Jeux,Plateforme_Préférée,Appareil
3/26/2025 18:16,Masculin,18 - 24 ans,9h - 10h,1h - 2h,3h - 4h,Instagram,Smartphone
3/26/2025 19:19,Feminin,18 - 24 ans,3h - 4h,3h - 4h,5h - 6h,TikTok,Smartphone
3/26/2025 21:19,Masculin,18 - 24 ans,6h - 7h,1h - 2h,2h - 3h,TikTok,Smartphone
3/26/2025 21:41,Feminin,18 - 24 ans,9h - 10h,7h - 8h,1h - 2h,TikTok,Smartphone
3/27/2025 11:55,Feminin,18 - 24 ans,9h - 10h,9h - 10h,3h - 4h,TikTok,Smartphone
3/27/2025 11:58,Feminin,35 - 47 ans,9h - 10h,7h - 8h,5h - 6h,Facebook,Smartphone
3/27/2025 12:54,Feminin,18 - 24 ans,9h - 10h,5h - 6h,7h - 8h,TikTok,Smartphone
3/27/2025 19:00,Feminin,18 - 24 ans,9h - 10h,3h - 4h,1h - 2h,TikTok,Smartphone
3/27/2025 19:18,Masculin,25 - 34 ans,9h - 10h,1h - 2h,1h - 2h,TikTok,Smartphone
3/27/2025 19:21,Masculin,18 - 24 ans,1h - 2h,1h - 2h,3h - 4h,TikTok,Smartphone
3/27/2025 19:25,Feminin,18 - 24 ans,6h - 7h,1h - 2h,1h - 2h,TikTok,Smartphone
3/27/2025 19:30,Feminin,18 - 24 ans,1h - 2h,3h - 4h,1h - 2h,WhatsApp,Smartphone
3/27/2025 19:36,Feminin,18 - 24 ans,5h - 6h,1h - 2h,3h - 4h,TikTok,Smartphone
3/27/2025 19:58,Feminin,18 - 24 ans,5h - 6h,1h - 2h,3h - 4h,Instagram,Smartphone
3/27/2025 23:09,Masculin,18 - 24 ans,9h - 10h,5h - 6h,1h - 2h,WhatsApp,Tablette
3/27/2025 23:09,Masculin,18 - 24 ans,9h - 10h,5h - 6h,1h - 2h,WhatsApp,Tablette
4/2/2025 11:18,Masculin,18 - 24 ans,3h - 4h,1h - 2h,1h - 2h,WhatsApp,Smartphone
